title,ingredients,directions,formatted_ingredients,formatted_ingredient_list,formatted_directions
One Hour Rolls,"[""1 c. milk"", ""2 Tbsp. sugar"", ""1 pkg. dry yeast"", ""1 Tbsp. salt"", ""3 Tbsp. Crisco oil"", ""2 c. plain flour""]","[""Put flour into a large mixing bowl."", ""Combine sugar, milk, salt and oil in a saucepan and heat to boiling; remove from heat and let cool to lukewarm."", ""Add yeast and mix well."", ""Pour into flour and stir."", ""Batter will be sticky."", ""Roll out batter on a floured board and cut with biscuit cutter."", ""Lightly brush tops with melted oleo and fold over."", ""Place rolls on a cookie sheet, put in a warm place and let rise for 1 hour."", ""Bake at 350\u00b0 for about 20 minutes. Yield: 2 1/2 dozen.""]","milk = Ingredient('m1lk', 'milk', 240, over='too watery', under='too dry')
sugar = Ingredient('sgr1', 'sugar', 25, over='too sweet', under='too bland')
yeast = Ingredient('yst1', 'dry yeast', 7, over='too yeasty', under='too flat')
salt = Ingredient('salt', 'salt', 18, over='too salty', under='too bland')
oil = Ingredient('crco', 'Crisco oil', 42, over='too greasy', under='too dry')
flour = Ingredient('flr2', 'plain flour', 240, over='too dense', under='too sticky')
","ingredients = [milk, sugar, yeast, salt, oil, flour]","t1 = Transformation('mix', 'Put flour into a large mixing bowl.', [flour], 'flour_bowl')
t2 = Transformation('mix', 'Combine sugar, milk, salt and oil in a saucepan.', [sugar, milk, salt, oil], 'wet_mixture')
t3 = Transformation('boil', 'Heat wet mixture to boiling.', [t2.execute()], 'boiled_wet_mixture')
t4 = Transformation('chill', 'Remove from heat and let cool to lukewarm.', [t3.execute()], 'lukewarm_wet_mixture')
t5 = Transformation('mix', 'Add yeast and mix well into the lukewarm wet mixture.', [t4.execute(), yeast], 'yeasted_wet_mixture')
t6 = Transformation('mix', 'Pour the yeasted wet mixture into the flour.', [t5.execute(), t1.execute()], 'combined_batter')
t7 = Transformation('stir', 'Stir to form batter.', [t6.execute()], 'batter')
t8 = Transformation('mix', 'Roll out batter on a floured board and cut with a biscuit cutter.', [t7.execute(), flour], 'cut_rolls')
t9 = Transformation('mix', 'Lightly brush tops with melted oleo and fold over.', [t8.execute(), oil], 'folded_rolls')
t10 = Transformation('chill', 'Place rolls in a warm place and let rise for 1 hour.', [t9.execute()], 'risen_rolls')
t11 = Transformation('bake', 'Bake at 350° for about 20 minutes.', [t10.execute()], 'baked_rolls')"
Artichoke Dip,"[""2 cans or jars artichoke hearts"", ""1 c. mayonnaise"", ""1 c. Parmesan cheese""]","[""Drain artichokes and chop."", ""Mix with mayonnaise and Parmesan cheese."", ""After well mixed, bake, uncovered, for 20 to 30 minutes at 350\u00b0."", ""Serve with crackers.""]","artichoke = Ingredient('A001', 'artichoke hearts', 510, over='too briny', under='too scarce')
mayonnaise = Ingredient('M001', 'mayonnaise', 240, over='too greasy', under='too dry')
parmesan = Ingredient('P001', 'Parmesan cheese', 100, over='too salty', under='too bland')
","ingredients = [artichoke, mayonnaise, parmesan]","t1 = Transformation('mix', 'Drain artichokes and chop.', ['artichoke'], 'chopped_artichoke')
t2 = Transformation('mix', 'Mix with mayonnaise and Parmesan cheese.', [t1.execute(), 'mayonnaise', 'parmesan'], 'artichoke_dip_mixture')
t3 = Transformation('bake', 'After well mixed, bake, uncovered, for 20 to 30 minutes at 350°.', [t2.execute()], 'baked_artichoke_dip')
t4 = Transformation('stir', 'Serve with crackers.', [t3.execute()], 'ready_to_serve_artichoke_dip')"
Fresh Strawberry Pie,"[""1 baked pie shell"", ""1 qt. cleaned strawberries"", ""1 1/2 c. water"", ""4 Tbsp. cornstarch"", ""1 c. sugar"", ""1/8 tsp. salt"", ""4 Tbsp. strawberry jello""]","[""Mix water, cornstarch, sugar and salt in saucepan."", ""Stir constantly and boil until thick and clear."", ""Remove from heat and stir in jello."", ""Set aside to cool."", ""But don't allow it to set. Layer strawberries in baked crust."", ""Pour cooled glaze over. Continue layering berries and glaze."", ""Refrigerate."", ""Serve with whipped cream.""]","pieshell = Ingredient('pshl', 'baked pie shell', 120, over='too thick', under='too thin')
strawberries = Ingredient('strw', 'cleaned strawberries', 454, over='too watery', under='too scarce')
water = Ingredient('watr', 'water', 360, over='too dilute', under='too concentrated')
cornstarch = Ingredient('crst', 'cornstarch', 32, over='too gummy', under='too runny')
sugar = Ingredient('sugr', 'sugar', 200, over='too sweet', under='too bland')
salt = Ingredient('salt', 'salt', 1, over='too salty', under='too insipid')
jello = Ingredient('jell', 'strawberry jello', 32, over='too rubbery', under='too weak')

","ingredients = [pieshell, strawberries, water, cornstarch, sugar, salt, jello]","t1 = Transformation('mix', 'Mix water, cornstarch, sugar and salt in saucepan.', [water, cornstarch, sugar, salt], 'saucepan_mixture')
t2 = Transformation('boil', 'Stir constantly and boil until thick and clear.', [t1.execute()], 'thick_clear_mixture')
t3 = Transformation('stir', 'Remove from heat and stir in jello.', [t2.execute(), jello], 'jello_glaze')
t4 = Transformation('chill', 'Set aside to cool.', [t3.execute()], 'cooled_glaze')
t5 = Transformation('mix', ""But don't allow it to set. Layer strawberries in baked crust."", [pieshell, strawberries], 'layered_pie')
t6 = Transformation('mix', 'Pour cooled glaze over. Continue layering berries and glaze.', [t4.execute(), t5.execute(), strawberries], 'assembled_pie')
t7 = Transformation('chill', 'Refrigerate.', [t6.execute()], 'chilled_pie')
t8 = Transformation('mix', 'Serve with whipped cream.', [t7.execute()], 'served_pie')"
Summer Spaghetti,"[""1 lb. very thin spaghetti"", ""1/2 bottle McCormick Salad Supreme (seasoning)"", ""1 bottle Zesty Italian dressing""]","[""Prepare spaghetti per package."", ""Drain."", ""Melt a little butter through it."", ""Marinate overnight in Salad Supreme and Zesty Italian dressing."", ""Just before serving, add cucumbers, tomatoes, green peppers, mushrooms, olives or whatever your taste may want.""]","spaghetti = Ingredient('SPAG', 'very thin spaghetti', 454, over='too starchy', under='too scant')
saladsupreme = Ingredient('MCSU', 'McCormick Salad Supreme (seasoning)', 21, over='too salty', under='too bland')
zestyitalian = Ingredient('ZITI', 'Zesty Italian dressing', 473, over='too tangy', under='too dry')
","ingredients = [spaghetti, saladsupreme, zestyitalian]","t1 = Transformation('boil', 'Prepare spaghetti per package.', [spaghetti], 'boiled_spaghetti')
t2 = Transformation('stir', 'Drain.', [t1.execute()], 'drained_spaghetti')
t3 = Transformation('stir', 'Melt a little butter through it.', [t2.execute()], 'buttered_spaghetti')
t4 = Transformation('chill', 'Marinate overnight in Salad Supreme and Zesty Italian dressing.', [t3.execute(), saladsupreme, zestyitalian], 'marinated_spaghetti')
t5 = Transformation('mix', 'Just before serving, add cucumbers, tomatoes, green peppers, mushrooms, olives or whatever your taste may want.', [t4.execute()], 'finished_spaghetti')"
Rhubarb Coffee Cake,"[""1 1/2 c. sugar"", ""1/2 c. butter"", ""1 egg"", ""1 c. buttermilk"", ""2 c. flour"", ""1/2 tsp. salt"", ""1 tsp. soda"", ""1 c. buttermilk"", ""2 c. rhubarb, finely cut"", ""1 tsp. vanilla""]","[""Cream sugar and butter."", ""Add egg and beat well."", ""To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda."", ""Mix well."", ""Add rhubarb and vanilla."", ""Pour into greased 9 x 13-inch pan and add Topping.""]","sugar = Ingredient('sug1', 'sugar', 300, over='too sweet', under='too bland')
butter = Ingredient('but1', 'butter', 113, over='too greasy', under='too dry')
egg = Ingredient('egg1', 'egg', 50, over='too rubbery', under='too dry')
buttermilk1 = Ingredient('btm1', 'buttermilk', 240, over='too sour', under='too thin')
flour = Ingredient('flo1', 'flour', 240, over='too tough', under='too weak')
salt = Ingredient('slt1', 'salt', 3, over='too salty', under='too bland')
soda = Ingredient('sod1', 'baking soda', 5, over='too metallic', under='too flat')
buttermilk2 = Ingredient('btm2', 'buttermilk', 240, over='too sour', under='too thin')
rhubarb = Ingredient('rhb1', 'rhubarb, finely cut', 244, over='too tart', under='too mild')
vanilla = Ingredient('vnl1', 'vanilla', 5, over='too perfumy', under='too weak')

","ingredients = [sugar, butter, egg, buttermilk1, flour, salt, soda, buttermilk2, rhubarb, vanilla]","t1 = Transformation('mix', 'Cream sugar and butter.', [sugar, butter], 'creamed_butter_sugar')
t2 = Transformation('mix', 'Add egg and beat well.', [t1.execute(), egg], 'creamed_butter_sugar_egg')
t3 = Transformation('mix', 'To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda.', [t2.execute(), buttermilk1, flour, salt, soda], 'batter_with_dry_and_buttermilk')
t4 = Transformation('mix', 'Mix well.', [t3.execute()], 'well_mixed_batter')
t5 = Transformation('mix', 'Add rhubarb and vanilla.', [t4.execute(), rhubarb, vanilla], 'rhubarb_vanilla_batter')
t6 = Transformation('mix', 'Pour into greased 9 x 13-inch pan and add Topping.', [t5.execute()], 'panned_batter_with_topping')"
Creamy Corn,"[""2 (16 oz.) pkg. frozen corn"", ""1 (8 oz.) pkg. cream cheese, cubed"", ""1/3 c. butter, cubed"", ""1/2 tsp. garlic powder"", ""1/2 tsp. salt"", ""1/4 tsp. pepper""]","[""In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings.""]","corn = Ingredient('c001', 'frozen corn', 907, over='too sweet', under='too bland')
creamcheese = Ingredient('c002', 'cream cheese', 227, over='too rich', under='too lacking')
butter = Ingredient('b001', 'butter', 76, over='too greasy', under='too dry')
garlicpowder = Ingredient('g001', 'garlic powder', 1, over='too pungent', under='too mild')
salt = Ingredient('s001', 'salt', 3, over='too salty', under='too bland')
pepper = Ingredient('p001', 'pepper', 1, over='too spicy', under='too bland')
","ingredients = [corn, creamcheese, butter, garlicpowder, salt, pepper]","t1 = Transformation('mix', 'In a slow cooker, combine all ingredients.', [corn, creamcheese, butter, garlicpowder, salt, pepper], 'combined_slowcooker')
t2 = Transformation('boil', 'Cover and cook on low for 4 hours or until heated through and cheese is melted.', [t1.execute()], 'cooked_mixture')
t3 = Transformation('stir', 'Stir well before serving.', [t2.execute()], 'creamed_corn_ready')"
Cuddy Farms Marinated Turkey,"[""2 c. 7-Up or Sprite"", ""1 c. vegetable oil"", ""1 c. Kikkoman soy sauce"", ""garlic salt""]","[""Buy whole turkey breast; remove all skin and bones. Cut into pieces about the size of your hand. Pour marinade over turkey and refrigerate for at least 8 hours (up to 48 hours). The longer it marinates, the less cooking time it takes.""]","SevenUp = Ingredient('s7up', '7-Up or Sprite', 473, over='too sweet', under='too flat')
VegOil = Ingredient('voil', 'vegetable oil', 218, over='too oily', under='too dry')
SoySauce = Ingredient('soys', 'Kikkoman soy sauce', 284, over='too salty', under='too bland')
GarlicSalt = Ingredient('gals', 'garlic salt', 5, over='too salty', under='too bland')
","ingredients = [SevenUp, VegOil, SoySauce, GarlicSalt]","t1 = Transformation('mix', 'Mix SevenUp, VegOil, SoySauce, and GarlicSalt to make a marinade.', [SevenUp, VegOil, SoySauce, GarlicSalt], 'marinade')
t2 = Transformation('chill', 'Pour marinade over turkey pieces and refrigerate for 8–48 hours.', [t1.execute()], 'marinated_turkey')"
Beer Bread,"[""3 c. self rising flour"", ""1 - 12 oz. can beer"", ""1 Tbsp. sugar""]","[""Stir the ingredients together and put in a greased and floured loaf pan."", ""Bake at 425 degrees for 50 minutes."", ""Drizzle melted butter on top.""]","flour = Ingredient('flr1', 'self rising flour', 360, over='too dense', under='too dry')
beer = Ingredient('beer', 'beer', 355, over='too bitter', under='too flat')
sugar = Ingredient('sug1', 'sugar', 13, over='too sweet', under='too bland')
","ingredients = [flour, beer, sugar]","t1 = Transformation('stir', 'Stir the ingredients together and put in a greased and floured loaf pan.', [flour, beer, sugar], 'batter_in_pan')
t2 = Transformation('bake', 'Bake at 425 degrees for 50 minutes.', [t1.execute()], 'baked_loaf')
t3 = Transformation('mix', 'Drizzle melted butter on top.', [t2.execute()], 'buttered_loaf')"
Easy German Chocolate Cake,"[""1/2 pkg. chocolate fudge cake mix without pudding or 1 Jiffy mix"", ""1/2 pkg. white cake mix without pudding or 1 Jiffy mix"", ""1/4 c. Wesson oil""]","[""Mix according to directions and add oil."", ""Bake in 9 x 13-inch pan.""]","chocofudge = Ingredient('CFMX', 'chocolate fudge cake mix without pudding or 1 Jiffy mix', 216, over='too sweet', under='too dry')
whitecake = Ingredient('WCMX', 'white cake mix without pudding or 1 Jiffy mix', 216, over='too sweet', under='too bland')
wesson = Ingredient('WSSN', 'Wesson oil', 54, over='too greasy', under='too dry')
","ingredients = [chocofudge, whitecake, wesson]","t1 = Transformation('mix', 'Mix according to directions and add oil.', [chocofudge, whitecake, wesson], 'cake_batter')
t2 = Transformation('bake', 'Bake in 9 x 13-inch pan.', [t1.execute()], 'baked_cake')"
Cheeseburger Potato Soup,"[""6 baking potatoes"", ""1 lb. of extra lean ground beef"", ""2/3 c. butter or margarine"", ""6 c. milk"", ""3/4 tsp. salt"", ""1/2 tsp. pepper"", ""1 1/2 c (6 oz.) shredded Cheddar cheese, divided"", ""12 sliced bacon, cooked, crumbled and divided"", ""4 green onion, chopped and divided"", ""1 (8 oz.) carton sour cream (optional)""]","[""Wash potatoes; prick several times with a fork."", ""Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes."", ""The potatoes should be soft, ready to eat."", ""Let them cool enough to handle."", ""Cut in half lengthwise; scoop out pulp and reserve."", ""Discard shells."", ""Brown ground beef until done."", ""Drain any grease from the meat."", ""Set aside when done."", ""Meat will be added later."", ""Melt butter in a large kettle over low heat; add flour, stirring until smooth."", ""Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly."", ""Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon."", ""Cook until heated (do not boil)."", ""Stir in sour cream if desired; cook until heated (do not boil)."", ""Sprinkle with remaining cheese, bacon and green onions.""]","potato = Ingredient('POT1', 'baking potatoes', 1800, over='too starchy', under='too meager')
beef = Ingredient('BEEF', 'extra lean ground beef', 454, over='too greasy', under='too scarce')
butter = Ingredient('BUTR', 'butter or margarine', 151, over='too greasy', under='too dry')
milk = Ingredient('MLK1', 'milk', 1440, over='too watery', under='too scant')
salt = Ingredient('SALT', 'salt', 5, over='too salty', under='too bland')
pepper = Ingredient('PEPR', 'pepper', 1, over='too peppery', under='too mild')
cheddar = Ingredient('CHED', 'shredded Cheddar cheese', 170, over='too cheesy', under='too bland')
bacon = Ingredient('BACN', 'sliced bacon', 180, over='too salty', under='too sparse')
greenonion = Ingredient('GRON', 'green onion', 60, over='too pungent', under='too mild')
sourcream = Ingredient('SRCM', 'sour cream', 227, over='too tangy', under='too bland')

","ingredients = [potato, beef, butter, milk, salt, pepper, cheddar, bacon, greenonion, sourcream]","t1 = Transformation('mix', 'Wash potatoes; prick several times with a fork.', [potato], 'prepped_potato')
t2 = Transformation('bake', 'Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes.', [t1.execute()], 'cooked_potato')
t3 = Transformation('mix', 'The potatoes should be soft, ready to eat.', [t2.execute()], 'soft_potato')
t4 = Transformation('chill', 'Let them cool enough to handle.', [t3.execute()], 'cooled_potato')
t5 = Transformation('mix', 'Cut in half lengthwise; scoop out pulp and reserve.', [t4.execute()], 'potato_pulp')
t6 = Transformation('mix', 'Discard shells.', [t5.execute()], 'reserved_potato_pulp')
t7 = Transformation('fry', 'Brown ground beef until done.', [beef], 'browned_beef')
t8 = Transformation('mix', 'Drain any grease from the meat.', [t7.execute()], 'drained_beef')
t9 = Transformation('mix', 'Set aside when done.', [t8.execute()], 'set_aside_beef')
t10 = Transformation('mix', 'Meat will be added later.', [t9.execute()], 'reserved_beef')
t11 = Transformation('stir', 'Melt butter in a large kettle over low heat; add flour, stirring until smooth.', [butter], 'butter_base')
t12 = Transformation('stir', 'Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly.', [t11.execute(), milk], 'thickened_sauce')
t13 = Transformation('stir', 'Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon.', [t12.execute(), t6.execute(), t10.execute(), salt, pepper, cheddar, greenonion, bacon], 'loaded_soup_base')
t14 = Transformation('stir', 'Cook until heated (do not boil).', [t13.execute()], 'heated_loaded_soup')
t15 = Transformation('stir', 'Stir in sour cream if desired; cook until heated (do not boil).', [t14.execute(), sourcream], 'creamy_loaded_soup')
t16 = Transformation('mix', 'Sprinkle with remaining cheese, bacon and green onions.', [t15.execute(), cheddar, bacon, greenonion], 'garnished_loaded_soup')"
